date,totalStockholdersEquity,totalAssets,totalLiabilities,cashAndCashEquivalents,totalDebt,netDebt,retainedEarnings,inventory,propertyPlantEquipmentNet,source_file
2026-03-31,-4077000000.0,63738000000.0,67815000000.0,1002000000.0,4083000000.0,3081000000.0,-7114000000.0,,32825000000.0,2026-03-31_2026-04-23_10-Q_000000620126000032_aal-20260331.htm
2026-03-31,-4077000000.0,63738000000.0,67815000000.0,1002000000.0,4083000000.0,3081000000.0,-7114000000.0,,32825000000.0,2026-03-31_2026-04-23_10-Q_000000620126000032.txt
2025-12-31,-3727000000.0,61774000000.0,65501000000.0,1056000000.0,4251000000.0,3195000000.0,-6732000000.0,,32540000000.0,2025-12-31_2026-02-18_10-K_000000620126000014_aal-20251231.htm
2025-12-31,-3727000000.0,61774000000.0,65501000000.0,1056000000.0,4251000000.0,3195000000.0,-6732000000.0,,32540000000.0,2025-12-31_2026-02-18_10-K_000000620126000014.txt
2025-09-30,-3962000000.0,62141000000.0,66103000000.0,938000000.0,3508000000.0,2570000000.0,-6831000000.0,,31458000000.0,2025-09-30_2025-10-23_10-Q_000000620125000052_aal-20250930.htm
2025-09-30,-3962000000.0,62141000000.0,66103000000.0,938000000.0,3508000000.0,2570000000.0,-6831000000.0,,31458000000.0,2025-09-30_2025-10-23_10-Q_000000620125000052.txt
2025-06-30,-3870000000.0,63667000000.0,67537000000.0,931000000.0,4514000000.0,3583000000.0,-6717000000.0,,31201000000.0,2025-06-30_2025-07-24_10-Q_000000620125000038_aal-20250630.htm
2025-06-30,-3870000000.0,63667000000.0,67537000000.0,931000000.0,4514000000.0,3583000000.0,-6717000000.0,,31201000000.0,2025-06-30_2025-07-24_10-Q_000000620125000038.txt
2025-03-31,-4508000000.0,62609000000.0,67117000000.0,931000000.0,4640000000.0,3709000000.0,-7316000000.0,,31315000000.0,2025-03-31_2025-04-24_10-Q_000000620125000023_aal-20250331.htm
2025-03-31,-4508000000.0,62609000000.0,67117000000.0,931000000.0,4640000000.0,3709000000.0,-7316000000.0,,31315000000.0,2025-03-31_2025-04-24_10-Q_000000620125000023.txt
2024-12-31,-3977000000.0,61783000000.0,65760000000.0,902000000.0,5727000000.0,4825000000.0,-6843000000.0,,31127000000.0,2024-12-31_2025-02-19_10-K_000000620125000010_aal-20241231.htm
2024-12-31,-3977000000.0,61783000000.0,65760000000.0,902000000.0,5727000000.0,4825000000.0,-6843000000.0,,31127000000.0,2024-12-31_2025-02-19_10-K_000000620125000010.txt
2024-09-30,-4854000000.0,63528000000.0,68382000000.0,933000000.0,5262000000.0,4329000000.0,-7433000000.0,,30846000000.0,2024-09-30_2024-10-24_10-Q_000000620124000060_aal-20240930.htm
2024-09-30,-4854000000.0,63528000000.0,68382000000.0,933000000.0,5262000000.0,4329000000.0,-7433000000.0,,30846000000.0,2024-09-30_2024-10-24_10-Q_000000620124000060.txt
2024-06-30,-4746000000.0,64125000000.0,68871000000.0,740000000.0,3982000000.0,3242000000.0,-7284000000.0,,31044000000.0,2024-06-30_2024-07-25_10-Q_000000620124000048_aal-20240630.htm
2024-06-30,-4746000000.0,64125000000.0,68871000000.0,740000000.0,3982000000.0,3242000000.0,-7284000000.0,,31044000000.0,2024-06-30_2024-07-25_10-Q_000000620124000048.txt
2024-03-31,-5500000000.0,64384000000.0,69884000000.0,703000000.0,3974000000.0,3271000000.0,-8001000000.0,,31157000000.0,2024-03-31_2024-04-25_10-Q_000000620124000032_aal-20240331.htm
2024-03-31,-5500000000.0,64384000000.0,69884000000.0,703000000.0,3974000000.0,3271000000.0,-8001000000.0,,31157000000.0,2024-03-31_2024-04-25_10-Q_000000620124000032.txt
2023-12-31,-5202000000.0,63058000000.0,68260000000.0,681000000.0,3876000000.0,3195000000.0,-7689000000.0,,30764000000.0,2023-12-31_2024-02-21_10-K_000000620124000010_aal-20231231.htm
2023-12-31,-5202000000.0,63058000000.0,68260000000.0,681000000.0,3876000000.0,3195000000.0,-7689000000.0,,30764000000.0,2023-12-31_2024-02-21_10-K_000000620124000010.txt
2023-09-30,-5136000000.0,65711000000.0,70847000000.0,687000000.0,3607000000.0,2920000000.0,-7708000000.0,,30318000000.0,2023-09-30_2023-10-19_10-Q_000000620123000092_aal-20230930.htm
2023-09-30,-5136000000.0,65711000000.0,70847000000.0,687000000.0,3607000000.0,2920000000.0,-7708000000.0,,30318000000.0,2023-09-30_2023-10-19_10-Q_000000620123000092.txt
2023-06-30,-4385000000.0,67260000000.0,71645000000.0,779000000.0,3717000000.0,2938000000.0,-7163000000.0,,30271000000.0,2023-06-30_2023-07-20_10-Q_000000620123000070_aal-20230630.htm
2023-06-30,-4385000000.0,67260000000.0,71645000000.0,779000000.0,3717000000.0,2938000000.0,-7163000000.0,,30271000000.0,2023-06-30_2023-07-20_10-Q_000000620123000070.txt
2023-03-31,-5771000000.0,66786000000.0,72557000000.0,584000000.0,3370000000.0,2786000000.0,-8501000000.0,,30144000000.0,2023-03-31_2023-04-27_10-Q_000000620123000042.txt
2023-03-31,-5771000000.0,66786000000.0,72557000000.0,584000000.0,3370000000.0,2786000000.0,-8501000000.0,,30144000000.0,2023-03-31_2023-04-27_10-Q_000000620123000042_aal-20230331.htm
2022-12-31,-5799000000.0,64716000000.0,70515000000.0,586000000.0,3604000000.0,3018000000.0,-8511000000.0,,30200000000.0,2022-12-31_2023-02-22_10-K_000000620123000018_aal-20221231.htm
2022-12-31,-5799000000.0,64716000000.0,70515000000.0,586000000.0,3604000000.0,3018000000.0,-8511000000.0,,30200000000.0,2022-12-31_2023-02-22_10-K_000000620123000018.txt
2022-09-30,-7893000000.0,66652000000.0,74545000000.0,476000000.0,2560000000.0,2084000000.0,-9314000000.0,,29987000000.0,2022-09-30_2022-10-20_10-Q_000000620122000086_aal-20220930.htm
2022-09-30,-7893000000.0,66652000000.0,74545000000.0,476000000.0,2560000000.0,2084000000.0,-9314000000.0,,29987000000.0,2022-09-30_2022-10-20_10-Q_000000620122000086.txt
2022-06-30,-8422000000.0,67963000000.0,76385000000.0,537000000.0,1933000000.0,1396000000.0,-9797000000.0,,29994000000.0,2022-06-30_2022-07-21_10-Q_000000620122000071_aal-20220630.htm
2022-06-30,-8422000000.0,67963000000.0,76385000000.0,537000000.0,1933000000.0,1396000000.0,-9797000000.0,,29994000000.0,2022-06-30_2022-07-21_10-Q_000000620122000071.txt
2022-03-31,-8940000000.0,67401000000.0,76341000000.0,512000000.0,2208000000.0,1696000000.0,-10273000000.0,,29858000000.0,2022-03-31_2022-04-21_10-Q_000000620122000046_aal-20220331.htm
2022-03-31,-8940000000.0,67401000000.0,76341000000.0,512000000.0,2208000000.0,1696000000.0,-10273000000.0,,29858000000.0,2022-03-31_2022-04-21_10-Q_000000620122000046.txt
2021-12-31,-7340000000.0,66467000000.0,73807000000.0,408000000.0,2878000000.0,2470000000.0,-8638000000.0,,29537000000.0,2021-12-31_2022-02-22_10-K_000000620122000026_aal-20211231.htm
2021-12-31,-7340000000.0,66467000000.0,73807000000.0,408000000.0,2878000000.0,2470000000.0,-8638000000.0,,29537000000.0,2021-12-31_2022-02-22_10-K_000000620122000026.txt
2021-09-30,-7437000000.0,68437000000.0,75874000000.0,431000000.0,2405000000.0,1974000000.0,-7707000000.0,,29797000000.0,2021-09-30_2021-10-21_10-Q_000000620121000098.txt
2021-09-30,-7437000000.0,68437000000.0,75874000000.0,431000000.0,2405000000.0,1974000000.0,-7707000000.0,,29797000000.0,2021-09-30_2021-10-21_10-Q_000000620121000098_aal-20210930.htm
2021-06-30,-7667000000.0,72464000000.0,80131000000.0,465000000.0,2692000000.0,2227000000.0,-7876000000.0,,30205000000.0,2021-06-30_2021-07-22_10-Q_000000620121000080_aal-20210630.htm
2021-06-30,-7667000000.0,72464000000.0,80131000000.0,465000000.0,2692000000.0,2227000000.0,-7876000000.0,,30205000000.0,2021-06-30_2021-07-22_10-Q_000000620121000080.txt
2021-03-31,-7945000000.0,68649000000.0,76594000000.0,434000000.0,2339000000.0,1905000000.0,-7895000000.0,,30897000000.0,2021-03-31_2021-04-22_10-Q_000000620121000054_aal-20210331.htm
