ticker,company_name,cik,form,report_date,filing_date,accession_number,accession_no_dash,primary_document,primary_url,txt_url,local_path,txt_local_path,download_status,txt_download_status,pipeline_status,raw_file_available,raw_file_deleted,batch_id,last_attempt_at,downloaded_at,processed_at,error
A,"AGILENT TECHNOLOGIES, INC.",0001090872,10-Q,2026-01-31,2026-03-03,0001090872-26-000023,000109087226000023,a-20260131.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087226000023/a-20260131.htm,https://www.sec.gov/Archives/edgar/data/1090872/000109087226000023/0001090872-26-000023.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\A\2026-01-31_2026-03-03_10-Q_000109087226000023_a-20260131.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:31,2026-05-31T17:26:33,2026-05-31T17:28:10,
AA,Alcoa Corp,0001675149,10-Q,2026-03-31,2026-04-30,0001193125-26-197447,000119312526197447,aa-20260331.htm,https://www.sec.gov/Archives/edgar/data/1675149/000119312526197447/aa-20260331.htm,https://www.sec.gov/Archives/edgar/data/1675149/000119312526197447/0001193125-26-197447.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AA\2026-03-31_2026-04-30_10-Q_000119312526197447_aa-20260331.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:33,2026-05-31T17:26:34,2026-05-31T17:28:10,
AACI,Armada Acquisition Corp. III,0002092897,10-Q,2026-03-31,2026-05-08,0001193125-26-214833,000119312526214833,d77851d10q.htm,https://www.sec.gov/Archives/edgar/data/2092897/000119312526214833/d77851d10q.htm,https://www.sec.gov/Archives/edgar/data/2092897/000119312526214833/0001193125-26-214833.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AACI\2026-03-31_2026-05-08_10-Q_000119312526214833_d77851d10q.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:34,2026-05-31T17:26:34,2026-05-31T17:28:10,
AACO,Abony Acquisition Corp. I,0002099906,10-Q,2026-03-31,2026-05-11,0001213900-26-054517,000121390026054517,ea0289340-10q_abony1.htm,https://www.sec.gov/Archives/edgar/data/2099906/000121390026054517/ea0289340-10q_abony1.htm,https://www.sec.gov/Archives/edgar/data/2099906/000121390026054517/0001213900-26-054517.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AACO\2026-03-31_2026-05-11_10-Q_000121390026054517_ea0289340-10q_abony1.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:34,2026-05-31T17:26:35,2026-05-31T17:28:10,
AAL,American Airlines Group Inc.,0000006201,10-Q,2026-03-31,2026-04-23,0000006201-26-000032,000000620126000032,aal-20260331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620126000032/aal-20260331.htm,https://www.sec.gov/Archives/edgar/data/6201/000000620126000032/0000006201-26-000032.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAL\2026-03-31_2026-04-23_10-Q_000000620126000032_aal-20260331.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:35,2026-05-31T17:26:37,2026-05-31T17:28:10,
AAMI,Acadian Asset Management Inc.,0001748824,10-Q,2026-03-31,2026-05-07,0001628280-26-031710,000162828026031710,aami-20260331.htm,https://www.sec.gov/Archives/edgar/data/1748824/000162828026031710/aami-20260331.htm,https://www.sec.gov/Archives/edgar/data/1748824/000162828026031710/0001628280-26-031710.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAMI\2026-03-31_2026-05-07_10-Q_000162828026031710_aami-20260331.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:37,2026-05-31T17:26:38,2026-05-31T17:28:10,
AAOI,"APPLIED OPTOELECTRONICS, INC.",0001158114,10-Q,2026-03-31,2026-05-07,0001437749-26-015620,000143774926015620,aaoi20260331_10q.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774926015620/aaoi20260331_10q.htm,https://www.sec.gov/Archives/edgar/data/1158114/000143774926015620/0001437749-26-015620.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAOI\2026-03-31_2026-05-07_10-Q_000143774926015620_aaoi20260331_10q.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:38,2026-05-31T17:26:39,2026-05-31T17:28:10,
AAON,"AAON, INC.",0000824142,10-Q,2026-03-31,2026-05-07,0000824142-26-000036,000082414226000036,aaon-20260331.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414226000036/aaon-20260331.htm,https://www.sec.gov/Archives/edgar/data/824142/000082414226000036/0000824142-26-000036.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAON\2026-03-31_2026-05-07_10-Q_000082414226000036_aaon-20260331.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:39,2026-05-31T17:26:41,2026-05-31T17:28:10,
AAP,ADVANCE AUTO PARTS INC,0001158449,10-Q,2026-04-25,2026-05-21,0001193125-26-234388,000119312526234388,aap-20260425.htm,https://www.sec.gov/Archives/edgar/data/1158449/000119312526234388/aap-20260425.htm,https://www.sec.gov/Archives/edgar/data/1158449/000119312526234388/0001193125-26-234388.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAP\2026-04-25_2026-05-21_10-Q_000119312526234388_aap-20260425.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:41,2026-05-31T17:26:42,2026-05-31T17:28:10,
AAP,ADVANCE AUTO PARTS INC,0001158449,10-K,2026-01-03,2026-02-13,0001193125-26-051305,000119312526051305,aap-20260103.htm,https://www.sec.gov/Archives/edgar/data/1158449/000119312526051305/aap-20260103.htm,https://www.sec.gov/Archives/edgar/data/1158449/000119312526051305/0001193125-26-051305.txt,C:\Users\linka\Dropbox\Projects\sec_data_pipeline\sec_filings_rolling_tmp\batch_00001\AAP\2026-01-03_2026-02-13_10-K_000119312526051305_aap-20260103.htm,,success,not_requested,processed,False,True,1,2026-05-31T17:26:41,2026-05-31T17:26:42,2026-05-31T17:28:10,
